agency_name,hq_addr1,hq_addr2,hq_city,hq_state,hq_zip,Full_Address,Latitude,Longitude,Within_30_Miles
Adams County Fire Protection District,8055 N Washington ST, ,Denver,CO,80229-5818,"8055 N Washington ST, Denver, CO 80229-5818",39.7358721,-104.9787254,False
North Metro Fire Rescue District,101 Spader WAY, ,Broomfield,CO,80020-2421,"101 Spader WAY, Broomfield, CO 80020-2421",39.9163334,-105.0675687,False
Thornton Fire Department,9500 Civic Center DR, ,Thornton,CO,80229-4326,"9500 Civic Center DR, Thornton, CO 80229-4326",39.8695235,-104.9846234,False
Westminster Fire Department,9110 Yates ST, ,Westminster,CO,80031-2540,"9110 Yates ST, Westminster, CO 80031-2540",39.8615517,-105.0485268,False
Aurora Fire Department,15151 E Alameda Pkwy #4100, ,Aurora,CO,80012-1555,"15151 E Alameda Pkwy #4100, Aurora, CO 80012-1555",39.7102647,-104.8125206,False
Sheridan Fire Department,4101 S Federal BLVD, ,Sheridan,CO,80110,"4101 S Federal BLVD, Sheridan, CO 80110",39.64187090000001,-105.0269304,False
South Metro Fire Rescue Authority,9195 E Mineral AVE, ,Centennial,CO,80112-3549,"9195 E Mineral AVE, Centennial, CO 80112-3549",39.574748,-104.882452,False
City of Boulder Fire Department,3065 Center Green DR, ,Boulder,CO,80301-2251,"3065 Center Green DR, Boulder, CO 80301-2251",40.0311175,-105.2466265,False
Lafayette Fire Department,401 N 111TH ST, ,Lafayette,CO,80026,"401 N 111TH ST, Lafayette, CO 80026",40.0015753,-105.093935,False
Denver Fire Department,745 W Colfax AVE, ,Denver,CO,80204,"745 W Colfax AVE, Denver, CO 80204",39.7404018,-104.997531,False
Eagle County Regional Airport Fire Department - ARFF,0219 Eldon Wilson RD,PO Box 850,Gypsum,CO,81637,"0219 Eldon Wilson RD, Gypsum, CO 81637",39.6395846,-106.9158292,False
Eagle River Fire Protection District,1050 Edwards Village BLVD, ,Edwards,CO,81632,"1050 Edwards Village BLVD, Edwards, CO 81632",39.6454947,-106.5984683,False
Vail Fire & Emergency Services,2399 N Frontage RD W, ,Vail,CO,81657-4285,"2399 N Frontage RD W, Vail, CO 81657-4285",39.62785540000001,-106.4223213,False
Black Hawk Fire Department,"137 Clear Creek ST, STE 200", ,Black Hawk,CO,80422,"137 Clear Creek ST, STE 200, Black Hawk, CO 80422",39.8036259,-105.4948524,False
Arvada Fire Protection District,7903 Allison WAY, ,Arvada,CO,80005-5033,"7903 Allison WAY, Arvada, CO 80005-5033",39.8391081,-105.0874781,False
West Metro Fire Rescue,433 S Allison PKWY, ,Lakewood,CO,80226-3133,"433 S Allison PKWY, Lakewood, CO 80226-3133",39.70948120000001,-105.0869658,False
City of Grand Junction Fire Department,625 Ute AVE, ,Grand Junction,CO,81501-7720,"625 Ute AVE, Grand Junction, CO 81501-7720",39.0650364,-108.5623247,False
Mesa Verde National Park Fire Department,CRO Museum Loop RD, ,Mesa Verde National Park,CO,81330,"CRO Museum Loop RD, Mesa Verde National Park, CO 81330",37.2002483,-108.4988269,False
Pueblo Fire Department,1551 Bonforte BLVD, ,Pueblo,CO,81001-1642,"1551 Bonforte BLVD, Pueblo, CO 81001-1642",38.2921899,-104.5925984,False
Pueblo Rural Fire District,29912 HWY 50 E, ,Pueblo,CO,81006-9685,"29912 HWY 50 E, Pueblo, CO 81006-9685",38.2705996,-104.6101033,False
City of Steamboat Springs,2600 Pine Grove RD,PO Box 775088,Steamboat Springs,CO,80477,"2600 Pine Grove RD, Steamboat Springs, CO 80477",40.4533531,-106.8153804,False
Lake Dillon Fire Protection District,401 Blue River PKWY, ,Silverthorne,CO,80498,"401 Blue River PKWY, Silverthorne, CO 80498",39.63237609999999,-106.0750343,False
Red White & Blue Fire District,316 N Main ST, ,Breckenridge,CO,80424,"316 N Main ST, Breckenridge, CO 80424",39.4857575,-106.0458465,False
Evans Fire Protection District,2100 37th ST, ,Evans,CO,80620,"2100 37th ST, Evans, CO 80620",40.3771542,-104.7118659,False
Frederick-Firestone Fire Protection District,8426 Kosmerl PL, ,Frederick,CO,80504-5444,"8426 Kosmerl PL, Frederick, CO 80504-5444",40.122616,-104.9812815,False
Greeley Fire Department,1155 10th AVE, ,Greeley,CO,80631-3813,"1155 10th AVE, Greeley, CO 80631-3813",40.4203589,-104.6950302,False
Mountain View Fire Protection District,3561 Stagecoach RD, ,Longmont,CO,80504-6256,"3561 Stagecoach RD, Longmont, CO 80504-6256",40.1581199,-104.985332,False
